Date Added,OCLC No.,Title,Author,Imprint,Date,Aresenical Material,ID Method,Owner,# books
2023-12-04,45545474,Poems for Young People,"Chambers, William; Howitt, Mary; Watts, Isaac",Edinburgh: Chambers,1851,paper cover,XRF,University of Florida,1
2023-12-04,45964453,Pretty Poems for Children,Emma C. Somers,London: T. Nelson and Sons,[1853],bookcloth,XRF,University of Florida,1
2024-02-01,,Prismatics,"Haywarde, Richard",New York: D. Appleton; London: Little Britain,1853,endpapers,XRF,"Indiana University, Lilly Library",1
2023-12-04,50739007,Readings from English History,,London: Society for Promoting Christian Knowledge,1853,bookcloth,XRF,University of Florida,1
2023-12-04,12273217,Right and About Right,"Mudge, Zachariah Atwell",Boston: Henry V. Degen,1859,bookcloth,XRF,University of Florida,1
2023-12-04,30836237,Robinson Crusoe,"Defoe, Daniel",London: David Bogue,1853,bookcloth,XRF,University of Florida,1
2023-12-04,45839364,Romance of Adventure,,London: George Routledge and Co.,1852,bookcloth,XRF,University of Florida,1
2023-02-28,26370325,Salvator Rosa und seine Zeit. Rusdem English chen… übersetz,"Morgan, Lady (Sydney)","Dresden, Arnold",1824,textblock edges,XRF,Northwestern University,1
2023-12-04,26348653,Sanders Pictoral Primer,Charles Sanders,"London:  Ivison, Phinney & Co.",1864,paper cover,XRF,University of Florida,1
2023-12-04,22769853,Sanders’ Pictorial Primers,Charles W. Sanders,Chicago: S. C. Griggs & Co.,1864,paper cover,XRF,University of Florida,1
2023-12-04,46448890,Stories for summer days and winter nights,"Whimper, E.; Barrett, Richard.; Guizot, Madame (Elisabeth Charlotte Pauline)",London: Groomsbridge and Sons,[1854],paper cover,XRF,University of Florida,1
2023-12-04,745489028,Stories for summer days and winter nights,"Whymper, Elijah",London: Groomsbridge and Sons,Nd [1854],paper cover,XRF,University of Florida,1
2023-12-04,51618243,Stories of Temperance,"Putnam, John",Boston: New England Sabbath School Union,1844,marbled paper cover,XRF,University of Florida,1
2023-12-04,71124017,Sunday Scholars Budget,,London: Jarrold and Sons,[1862-1872],paper cover,XRF,University of Florida,1
2020-02-06,,Sweet Home; or: Friendship’s Golden Altar,,Boston: L.P. Crown & Co.; Philadelphia: J.W. Bradley,1856,bookcloth,XRF,The Library Company,1
2023-12-04,47096488,"Tales for Children, Baudry’s European Library",Casimir,Paris: Baudry’s European Library,1857,paper spine label,XRF,University of Florida,1
2023-12-04,50911541,Tales of peter parley about Europe,"Goodrich, Samuel G.","Boston: Carter, Henderson, and Babcock",1831,paper cover,XRF,University of Florida,1
2023-12-04,38745320,Temperance Anecdotes,"Mann, Cyrus",Boston: Geo. W. Light,1834,decorative green onlay,XRF,University of Florida,1
2022-11-16,22260690,The Black Man,"Brown, Wlm. Wells",James Redpath; Boston,1863,paper cover,XRF,American Antiquarian Society,1
2024-02-01,,"The book of riddles: containing charades, enigmas, conundrums, rebuses, puzzles, anagrams, acting charades, acting proverbs, &c","Pullan, Matilda Marian",London: Darton & Co.,1851,bookcloth,XRF,"Indiana University, Lilly Library",1
2023-12-04,12938884,The Book of Sunday Pictures Old Testament,,London: Religious Tract Society,[1854],paper cover,XRF,University of Florida,1
2023-12-04,21403204,The Canary Bird,"Author of the Sparrow, unnamed ",London: E. Newbery,1799,paper spine,XRF,University of Florida,1
2023-12-04,50957812,The child’s fairy library,,London: Joseph Thomas,[1837],paper spine label,XRF,University of Florida,1
2020-02-06,,"The Complete Poetical Works of William Cowper, Esq.",,New York & Philadelphia: Appleton & Co.,1845,bookcloth,XRF,The Library Company,1
2022-11-16,950932629,"The Floral Keepsake, with Thirty Engr.",,Leavitt & Allen; NY,1856-60,bookcloth,XRF,American Antiquarian Society,1
2023-12-04,49422984,The Fox and the Geese,,New York: McLoughlin Bros,[1867],paper cover,XRF,University of Florida,1
2023-12-04,698249888,The Gardeners Daughter,,Philadelphia: American Sunday School Union ,Nd [1828],paper spine label,XRF,University of Florida,1
2023-12-04,19296317,The Grammar School Boys,Mrs. Burbury ,"London: Simpkon, Marshall and Co.",1854,bookcloth,XRF,University of Florida,1
2023-12-04,45759746,The happy holidays,"Evans, Edmund",London: T. Nelson and Sons,1852,bookcloth,XRF,University of Florida,1
2024-03-22,,The Heathcotes,"Cooper, J.F.","London: G. Routledge & Co., Farringdon Street; E. Evans, Engraver & Printer, Raquet Court",1857,printed paper board-covering,XRF,Todd Pattison,1
2024-05-04,10044716,"The history, topography, and antiquities of the Isle of Wight.","Davenport Adams, William Henry","London: Smith, Elder & Co.",1856,Bookcloth,XRF,"Hartley Library, University of Southampton",1
2024-03-22,,The Home Affections by the Poets,Mackay,"London, New York: George Routledge & Co.",1858,bookcloth,XRF,PBP Study Collection ,1
2024-02-01,,The Jew of Verona: an historical tale of the Italian revolutions of 1846-9,"Bresciani, Antonio",Baltimore: J. Murphy & Co.,1854,bookcloth,XRF,"Indiana University, Lilly Library",1
2022-11-16,5272377,The Juvenile Forget-me-Not,,Leavitt & Allen; NY,1853-1856,bookcloth,XRF,American Antiquarian Society,1
2023-12-04,32104910,The Juveniles Traveler Tour through Europe,Priscilla Wakefield,"London: Simpson, Marshall and Co.",1862 [1850],bookcloth,XRF,University of Florida,1
2024-02-01,,The lady of the lake,"Scott, Walter",Boston: G.W. Cottrell,1857,bookcloth,XRF,"Indiana University, Lilly Library",1
2022-11-16,83488838,The Landscape Album,,John B. Perry [Phila.],1857,bookcloth,XRF,American Antiquarian Society,1
2023-12-04,70870916,"The life of Col. James Gardiner : who was slain at the battle of Prestonpans, September 21, 1745",P. Dodderidge,Philadelphia: American Sunday School Union ,Nd [1840-1849?],paper spine label,XRF,University of Florida,1
2023-12-04,45585525,The Life of Daniel,Mrs. Hooker,London:  Thomas Nelson,1851,paper cover,XRF,University of Florida,1
2023-12-04,778702163,The Lilliputian Library,"Fénelon, François de Salignac de La Mothe-",Guben : F. Fechner ; London : Joseph Myers & Co.,1850,decorative green onlay,XRF,University of Florida,1
2024-03-22,,The Lord of the Isles,"Scott, Sir Walter",Edinburgh: Adam & Charles Black,1857,bookcloth,XRF,"PBP Study Collection, gift of Sarah Mentock, Sheridan, WY",1
,,,,,,,,,
